Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],Count of iterations
OF1,32,CauchyDensity,01-02,381679867030,94,12175
OF1,32,CauchyDensity,01-03,639702236564,109,13066
OF1,32,CauchyDensity,01-04,412850049504,103,11633
OF1,32,CauchyDensity,01-05,1271790354042,94,13741
OF1,32,CauchyDensity,01-06,1206058384559,99,14778
OF1,32,CauchyDensity,01-07,706329620657,129,14367
OF1,32,CauchyDensity,01-08,641720516058,107,12752
OF1,32,CauchyDensity,01-09,511406435076,120,17092
OF1,32,CauchyDensity,01-10,1197930636345,103,14280
OF1,32,CauchyDensity,02-04,309433909655,129,12575
OF1,32,CauchyDensity,02-05,1203032347565,114,18309
OF1,32,CauchyDensity,02-06,1042676257653,103,13587
OF1,32,CauchyDensity,02-08,451423419694,127,13218
OF1,32,CauchyDensity,02-09,483000578762,125,16093
OF1,32,CauchyDensity,02-10,1038938059457,101,13553
OF1,32,CauchyDensity,03-02,452634693879,152,23719
OF1,32,CauchyDensity,03-04,328246246739,88,14256
OF1,32,CauchyDensity,03-05,803096837341,108,17601
OF1,32,CauchyDensity,03-06,635701121734,90,12833
OF1,32,CauchyDensity,03-08,308497055611,218,19493
OF1,32,CauchyDensity,03-09,582494958613,95,14372
OF1,32,CauchyDensity,03-10,607140440510,82,11390
OF1,32,CauchyDensity,04-05,1032041278880,112,18359
OF1,32,CauchyDensity,04-08,239521392338,88,9767
OF1,32,CauchyDensity,04-10,853718773723,86,12387
OF1,32,CauchyDensity,05-08,928351022318,106,17886
OF1,32,CauchyDensity,05-10,494335021350,85,10798
OF1,32,CauchyDensity,06-04,843671575076,108,16258
OF1,32,CauchyDensity,06-05,565155989066,90,13848
OF1,32,CauchyDensity,06-08,688158476474,93,14222
OF1,32,CauchyDensity,06-09,1000570542292,106,14059
OF1,32,CauchyDensity,06-10,134046572578,100,11770
OF1,32,CauchyDensity,07-02,485845054919,152,24008
OF1,32,CauchyDensity,07-03,347283576620,211,20296
OF1,32,CauchyDensity,07-04,321205042830,120,16537
OF1,32,CauchyDensity,07-05,1051148073343,104,17994
OF1,32,CauchyDensity,07-06,708313166987,100,14889
OF1,32,CauchyDensity,07-08,212809387695,76,11084
OF1,32,CauchyDensity,07-09,573579778037,80,9867
OF1,32,CauchyDensity,07-10,735728700392,96,14511
OF1,32,CauchyDensity,09-04,350622260473,96,12836
OF1,32,CauchyDensity,09-05,1045957382508,96,14441
OF1,32,CauchyDensity,09-08,399633752839,73,9002
OF1,32,CauchyDensity,09-10,999881548592,89,12939
OF1,32,CauchyDensity,10-08,708566281189,94,14710
OF1,32,ClassicImages,01-02,206116560402,86,11754
OF1,32,ClassicImages,01-03,230366264212,97,12678
OF1,32,ClassicImages,01-04,169474198532,81,10579
OF1,32,ClassicImages,01-05,195237855155,134,15163
OF1,32,ClassicImages,01-06,290990535908,87,12196
OF1,32,ClassicImages,01-07,232298183133,123,14111
OF1,32,ClassicImages,01-08,185575555991,95,11360
OF1,32,ClassicImages,01-09,341587129047,105,15306
OF1,32,ClassicImages,01-10,289184470976,90,11601
OF1,32,ClassicImages,02-04,88423074494,113,14533
OF1,32,ClassicImages,02-05,89449778556,92,13708
OF1,32,ClassicImages,02-06,104244812348,84,11027
OF1,32,ClassicImages,02-08,116958936846,130,15667
OF1,32,ClassicImages,02-09,254025703605,100,15262
OF1,32,ClassicImages,02-10,171012230834,120,11941
OF1,32,ClassicImages,03-02,160003215762,94,12371
OF1,32,ClassicImages,03-04,132396478107,89,12207
OF1,32,ClassicImages,03-05,149000530812,99,13507
OF1,32,ClassicImages,03-06,182241645629,91,10907
OF1,32,ClassicImages,03-08,161255543724,115,12315
OF1,32,ClassicImages,03-09,300822382196,101,15250
OF1,32,ClassicImages,03-10,250508839999,84,11860
OF1,32,ClassicImages,04-05,107862844914,131,15462
OF1,32,ClassicImages,04-08,110764385234,89,10290
OF1,32,ClassicImages,04-10,222790714046,94,11936
OF1,32,ClassicImages,05-08,140371648499,90,11577
OF1,32,ClassicImages,05-10,216794329022,113,11866
OF1,32,ClassicImages,06-04,161621530642,136,14942
OF1,32,ClassicImages,06-05,137062082674,86,11481
OF1,32,ClassicImages,06-08,156244037026,128,16226
OF1,32,ClassicImages,06-09,252213743001,91,13362
OF1,32,ClassicImages,06-10,169177440084,87,11605
OF1,32,ClassicImages,07-02,101986524106,94,11171
OF1,32,ClassicImages,07-03,194550788968,98,12377
OF1,32,ClassicImages,07-04,150976816021,140,15637
OF1,32,ClassicImages,07-05,103685398596,122,13189
OF1,32,ClassicImages,07-06,131670452996,82,9888
OF1,32,ClassicImages,07-08,148273858023,116,14185
OF1,32,ClassicImages,07-09,228608020255,94,14226
OF1,32,ClassicImages,07-10,186868192027,126,14103
OF1,32,ClassicImages,09-04,287373769741,94,13672
OF1,32,ClassicImages,09-05,238306777814,93,13318
OF1,32,ClassicImages,09-08,334539956114,89,12501
OF1,32,ClassicImages,09-10,368774950421,94,13387
OF1,32,ClassicImages,10-08,188604254271,155,16029
OF1,32,GRFmoderate,01-02,171884032934,112,14161
OF1,32,GRFmoderate,01-03,254137269163,91,13319
OF1,32,GRFmoderate,01-04,397444272381,90,13020
OF1,32,GRFmoderate,01-05,208898838580,88,12464
OF1,32,GRFmoderate,01-06,300044891664,91,12042
OF1,32,GRFmoderate,01-07,155551740055,103,11785
OF1,32,GRFmoderate,01-08,316529636955,97,13568
OF1,32,GRFmoderate,01-09,134174011948,93,12437
OF1,32,GRFmoderate,01-10,107233896920,133,15681
OF1,32,GRFmoderate,02-04,325981113421,93,13968
OF1,32,GRFmoderate,02-05,150638691845,107,14737
OF1,32,GRFmoderate,02-06,244688527012,122,14659
OF1,32,GRFmoderate,02-08,325477006362,93,13224
OF1,32,GRFmoderate,02-09,153873078087,96,11056
OF1,32,GRFmoderate,02-10,170753470748,93,11585
OF1,32,GRFmoderate,03-02,267722401912,104,15173
OF1,32,GRFmoderate,03-04,280583736087,90,13156
OF1,32,GRFmoderate,03-05,208185703595,105,14244
OF1,32,GRFmoderate,03-06,254943574831,92,13077
OF1,32,GRFmoderate,03-08,154149361037,110,12893
OF1,32,GRFmoderate,03-09,192693908572,154,17128
OF1,32,GRFmoderate,03-10,216030442258,104,14197
OF1,32,GRFmoderate,04-05,236669935459,94,12328
OF1,32,GRFmoderate,04-08,339522701620,85,10743
OF1,32,GRFmoderate,04-10,359731361865,94,12668
OF1,32,GRFmoderate,05-08,262152343211,83,11923
OF1,32,GRFmoderate,05-10,171525657539,81,10161
OF1,32,GRFmoderate,06-04,230276167495,186,19704
OF1,32,GRFmoderate,06-05,154397961704,90,10401
OF1,32,GRFmoderate,06-08,292945246854,84,11764
OF1,32,GRFmoderate,06-09,246346533831,83,9491
OF1,32,GRFmoderate,06-10,250099458025,91,11150
OF1,32,GRFmoderate,07-02,168009897603,137,15002
OF1,32,GRFmoderate,07-03,229427385046,99,13717
OF1,32,GRFmoderate,07-04,334258742984,94,13993
OF1,32,GRFmoderate,07-05,145181817423,110,14974
OF1,32,GRFmoderate,07-06,234507242307,94,13599
OF1,32,GRFmoderate,07-08,272644297616,100,13983
OF1,32,GRFmoderate,07-09,90005282514,95,11276
OF1,32,GRFmoderate,07-10,117818443682,88,10956
OF1,32,GRFmoderate,09-04,341989833467,88,12512
OF1,32,GRFmoderate,09-05,154172038880,112,14277
OF1,32,GRFmoderate,09-08,242059357581,100,14080
OF1,32,GRFmoderate,09-10,119607437543,113,12371
OF1,32,GRFmoderate,10-08,289836957462,95,13979
OF1,32,GRFrough,01-02,91874958702,111,13351
OF1,32,GRFrough,01-03,73997641939,82,9999
OF1,32,GRFrough,01-04,102019968685,88,12108
OF1,32,GRFrough,01-05,69717519334,115,14290
OF1,32,GRFrough,01-06,88417059005,108,12422
OF1,32,GRFrough,01-07,66227051752,86,10267
OF1,32,GRFrough,01-08,69543249664,144,14246
OF1,32,GRFrough,01-09,57431343430,97,12043
OF1,32,GRFrough,01-10,70956548247,93,12419
OF1,32,GRFrough,02-04,102019437359,136,14732
OF1,32,GRFrough,02-05,60895475073,95,11643
OF1,32,GRFrough,02-06,101421742248,99,11638
OF1,32,GRFrough,02-08,87302901898,82,10373
OF1,32,GRFrough,02-09,70479296476,94,11419
OF1,32,GRFrough,02-10,68012573674,95,11586
OF1,32,GRFrough,03-02,106692794066,102,14178
OF1,32,GRFrough,03-04,97522873946,105,13532
OF1,32,GRFrough,03-05,93502854974,98,14018
OF1,32,GRFrough,03-06,69957958560,116,13493
OF1,32,GRFrough,03-08,82953436822,132,15496
OF1,32,GRFrough,03-09,89396995090,102,13917
OF1,32,GRFrough,03-10,80399205009,95,13241
OF1,32,GRFrough,04-05,117013224733,96,13265
OF1,32,GRFrough,04-08,120093767029,96,11965
OF1,32,GRFrough,04-10,103855355899,93,13060
OF1,32,GRFrough,05-08,65112749053,79,9680
OF1,32,GRFrough,05-10,51369462907,92,10825
OF1,32,GRFrough,06-04,89541097642,101,12595
OF1,32,GRFrough,06-05,95863430317,111,14151
OF1,32,GRFrough,06-08,100921363350,103,12884
OF1,32,GRFrough,06-09,91692251060,105,14340
OF1,32,GRFrough,06-10,77963054707,112,14221
OF1,32,GRFrough,07-02,103789178098,93,13790
OF1,32,GRFrough,07-03,68589190116,86,10697
OF1,32,GRFrough,07-04,114494924773,88,13029
OF1,32,GRFrough,07-05,80074011412,95,13732
OF1,32,GRFrough,07-06,92921525873,98,13164
OF1,32,GRFrough,07-08,59703616002,97,12380
OF1,32,GRFrough,07-09,67051090360,90,12285
OF1,32,GRFrough,07-10,89462578404,100,14529
OF1,32,GRFrough,09-04,112261067558,93,12808
OF1,32,GRFrough,09-05,54093876172,103,13180
OF1,32,GRFrough,09-08,64158761791,85,10053
OF1,32,GRFrough,09-10,63217843948,114,13139
OF1,32,GRFrough,10-08,81336719033,107,12231
OF1,32,GRFsmooth,01-02,403842162860,116,16865
OF1,32,GRFsmooth,01-03,697856605326,97,14845
OF1,32,GRFsmooth,01-04,373911573885,115,13577
OF1,32,GRFsmooth,01-05,297729064938,89,11598
OF1,32,GRFsmooth,01-06,259629479824,132,16017
OF1,32,GRFsmooth,01-07,138799197840,89,11583
OF1,32,GRFsmooth,01-08,383713623984,97,14570
OF1,32,GRFsmooth,01-09,327953388574,156,16840
OF1,32,GRFsmooth,01-10,446012564039,137,19674
OF1,32,GRFsmooth,02-04,695828640108,107,16595
OF1,32,GRFsmooth,02-05,506849834076,98,15441
OF1,32,GRFsmooth,02-06,278850001796,95,14448
OF1,32,GRFsmooth,02-08,234095195285,90,13437
OF1,32,GRFsmooth,02-09,456026688321,103,16506
OF1,32,GRFsmooth,02-10,379977180450,101,14758
OF1,32,GRFsmooth,03-02,558632756688,93,11655
OF1,32,GRFsmooth,03-04,840569253383,90,13436
OF1,32,GRFsmooth,03-05,738317538229,93,14279
OF1,32,GRFsmooth,03-06,541390988378,89,12311
OF1,32,GRFsmooth,03-08,404005721605,77,10836
OF1,32,GRFsmooth,03-09,496898116814,102,13661
OF1,32,GRFsmooth,03-10,433513687067,89,11848
OF1,32,GRFsmooth,04-05,270165960994,91,12767
OF1,32,GRFsmooth,04-08,626336320388,94,15020
OF1,32,GRFsmooth,04-10,486414760690,103,16247
OF1,32,GRFsmooth,05-08,475088710766,100,14221
OF1,32,GRFsmooth,05-10,394613715679,140,17213
OF1,32,GRFsmooth,06-04,473390987728,107,16199
OF1,32,GRFsmooth,06-05,309789506399,104,14195
OF1,32,GRFsmooth,06-08,213794664855,124,14515
OF1,32,GRFsmooth,06-09,322293151395,111,15717
OF1,32,GRFsmooth,06-10,283217896601,134,16020
OF1,32,GRFsmooth,07-02,366323901452,99,15299
OF1,32,GRFsmooth,07-03,721063489712,108,16128
OF1,32,GRFsmooth,07-04,422490857745,99,13541
OF1,32,GRFsmooth,07-05,290741726016,90,11838
OF1,32,GRFsmooth,07-06,227933659028,122,14888
OF1,32,GRFsmooth,07-08,365598131836,91,13419
OF1,32,GRFsmooth,07-09,348269920197,86,12745
OF1,32,GRFsmooth,07-10,378164308851,94,14000
OF1,32,GRFsmooth,09-04,415669235129,97,13805
OF1,32,GRFsmooth,09-05,357776853222,110,12771
OF1,32,GRFsmooth,09-08,293907355242,90,11531
OF1,32,GRFsmooth,09-10,236698230761,124,14669
OF1,32,GRFsmooth,10-08,230845592661,130,13388
OF1,32,LogGRF,01-02,388080355449,88,12790
OF1,32,LogGRF,01-03,731166838529,122,17232
OF1,32,LogGRF,01-04,696013438540,101,15488
OF1,32,LogGRF,01-05,1177229400290,111,18086
OF1,32,LogGRF,01-06,501866953266,99,13726
OF1,32,LogGRF,01-07,285623439437,101,15597
OF1,32,LogGRF,01-08,540550350076,122,14879
OF1,32,LogGRF,01-09,1099790842629,99,15488
OF1,32,LogGRF,01-10,847354854882,96,14649
OF1,32,LogGRF,02-04,550030641540,115,16965
OF1,32,LogGRF,02-05,943017112280,123,20340
OF1,32,LogGRF,02-06,382661155100,93,12769
OF1,32,LogGRF,02-08,299066934684,110,16471
OF1,32,LogGRF,02-09,843561714048,120,18412
OF1,32,LogGRF,02-10,587866598843,110,17187
OF1,32,LogGRF,03-02,564226151798,161,21709
OF1,32,LogGRF,03-04,871541920874,119,19100
OF1,32,LogGRF,03-05,829337896562,240,21483
OF1,32,LogGRF,03-06,660345809787,119,20184
OF1,32,LogGRF,03-08,611046609980,129,18431
OF1,32,LogGRF,03-09,813087523418,111,17682
OF1,32,LogGRF,03-10,604018471603,136,16143
OF1,32,LogGRF,04-05,836210874339,139,22111
OF1,32,LogGRF,04-08,485346904215,147,18591
OF1,32,LogGRF,04-10,560389981853,115,15707
OF1,32,LogGRF,05-08,732000819700,108,18474
OF1,32,LogGRF,05-10,464954297767,150,18425
OF1,32,LogGRF,06-04,772543483823,98,15480
OF1,32,LogGRF,06-05,1173610074928,120,20649
OF1,32,LogGRF,06-08,581340592011,106,16433
OF1,32,LogGRF,06-09,760751470109,101,16362
OF1,32,LogGRF,06-10,811939161755,105,17397
OF1,32,LogGRF,07-02,455085991593,117,14889
OF1,32,LogGRF,07-03,698146793833,124,18325
OF1,32,LogGRF,07-04,705506373846,122,16315
OF1,32,LogGRF,07-05,1057784144167,102,16102
OF1,32,LogGRF,07-06,633432661811,108,14625
OF1,32,LogGRF,07-08,480471447078,120,16076
OF1,32,LogGRF,07-09,1152383340952,106,16658
OF1,32,LogGRF,07-10,771177657445,98,14693
OF1,32,LogGRF,09-04,1038208324024,96,15407
OF1,32,LogGRF,09-05,957469197853,106,17432
OF1,32,LogGRF,09-08,833753863897,101,14517
OF1,32,LogGRF,09-10,721543011766,94,15366
OF1,32,LogGRF,10-08,435567537352,115,17864
OF1,32,LogitGRF,01-02,322586026369,109,13481
OF1,32,LogitGRF,01-03,331328964841,110,14832
OF1,32,LogitGRF,01-04,264270922095,146,14684
OF1,32,LogitGRF,01-05,220283295781,99,12792
OF1,32,LogitGRF,01-06,235155854599,98,13103
OF1,32,LogitGRF,01-07,319390732952,110,16887
OF1,32,LogitGRF,01-08,191795113953,98,13830
OF1,32,LogitGRF,01-09,486802003287,100,15350
OF1,32,LogitGRF,01-10,312401040771,91,12360
OF1,32,LogitGRF,02-04,228236351842,114,15321
OF1,32,LogitGRF,02-05,294144602068,142,16565
OF1,32,LogitGRF,02-06,324391127655,125,16360
OF1,32,LogitGRF,02-08,374219736214,136,16736
OF1,32,LogitGRF,02-09,405684647023,134,17641
OF1,32,LogitGRF,02-10,275475244714,104,15064
OF1,32,LogitGRF,03-02,374386568218,137,16454
OF1,32,LogitGRF,03-04,403832168459,99,14708
OF1,32,LogitGRF,03-05,253943172301,123,14720
OF1,32,LogitGRF,03-06,292835729059,200,19428
OF1,32,LogitGRF,03-08,417384627240,135,17712
OF1,32,LogitGRF,03-09,292241786710,113,12824
OF1,32,LogitGRF,03-10,279342740158,112,13586
OF1,32,LogitGRF,04-05,304310070392,143,16349
OF1,32,LogitGRF,04-08,280112188427,162,18965
OF1,32,LogitGRF,04-10,300775775460,102,15120
OF1,32,LogitGRF,05-08,287036860572,154,17606
OF1,32,LogitGRF,05-10,308783084581,155,14646
OF1,32,LogitGRF,06-04,313069262978,104,14310
OF1,32,LogitGRF,06-05,248110042993,104,13025
OF1,32,LogitGRF,06-08,264403590782,125,16434
OF1,32,LogitGRF,06-09,440461524614,106,15172
OF1,32,LogitGRF,06-10,265124486590,101,13126
OF1,32,LogitGRF,07-02,489986217505,99,14454
OF1,32,LogitGRF,07-03,266848497871,82,10871
OF1,32,LogitGRF,07-04,450596081245,93,13714
OF1,32,LogitGRF,07-05,346893390200,88,12417
OF1,32,LogitGRF,07-06,262583774247,116,13028
OF1,32,LogitGRF,07-08,417586631018,127,16368
OF1,32,LogitGRF,07-09,485462180104,110,14757
OF1,32,LogitGRF,07-10,384457073795,97,13201
OF1,32,LogitGRF,09-04,475514556590,110,16771
OF1,32,LogitGRF,09-05,388010485342,107,16679
OF1,32,LogitGRF,09-08,561804465922,105,16030
OF1,32,LogitGRF,09-10,274662715678,114,16044
OF1,32,LogitGRF,10-08,378689105553,105,16468
OF1,32,MicroscopyImages,01-02,288091795570,42,8831
OF1,32,MicroscopyImages,01-03,863488996159,34,9710
OF1,32,MicroscopyImages,01-04,602487193894,46,10888
OF1,32,MicroscopyImages,01-05,716655024595,44,10833
OF1,32,MicroscopyImages,01-06,752182099161,50,11147
OF1,32,MicroscopyImages,01-07,640614484066,36,9000
OF1,32,MicroscopyImages,01-08,654978042776,48,10529
OF1,32,MicroscopyImages,01-09,601240068693,37,9324
OF1,32,MicroscopyImages,01-10,499921086020,51,10619
OF1,32,MicroscopyImages,02-04,696264304203,67,12940
OF1,32,MicroscopyImages,02-05,622013405235,64,13256
OF1,32,MicroscopyImages,02-06,696224545500,69,13047
OF1,32,MicroscopyImages,02-08,683046538051,67,12474
OF1,32,MicroscopyImages,02-09,470174194943,55,11735
OF1,32,MicroscopyImages,02-10,380216936218,75,13736
OF1,32,MicroscopyImages,03-02,943241979264,47,11523
OF1,32,MicroscopyImages,03-04,326306850920,46,9526
OF1,32,MicroscopyImages,03-05,551197004237,43,10734
OF1,32,MicroscopyImages,03-06,406106431361,52,11912
OF1,32,MicroscopyImages,03-08,561310235684,52,11993
OF1,32,MicroscopyImages,03-09,619376404603,37,9693
OF1,32,MicroscopyImages,03-10,675376408824,51,12043
OF1,32,MicroscopyImages,04-05,486469592884,60,11651
OF1,32,MicroscopyImages,04-08,477932408499,77,14559
OF1,32,MicroscopyImages,04-10,431337791807,76,14098
OF1,32,MicroscopyImages,05-08,461378393734,62,11507
OF1,32,MicroscopyImages,05-10,383069883167,67,12131
OF1,32,MicroscopyImages,06-04,435624394866,76,13900
OF1,32,MicroscopyImages,06-05,178464486235,63,11307
OF1,32,MicroscopyImages,06-08,460501289132,82,14449
OF1,32,MicroscopyImages,06-09,448202218031,57,10945
OF1,32,MicroscopyImages,06-10,440203903174,95,14729
OF1,32,MicroscopyImages,07-02,648015919312,54,12022
OF1,32,MicroscopyImages,07-03,593554669312,40,9984
OF1,32,MicroscopyImages,07-04,483244181894,62,13161
OF1,32,MicroscopyImages,07-05,464929547495,57,11639
OF1,32,MicroscopyImages,07-06,476673645602,64,13247
OF1,32,MicroscopyImages,07-08,146064523201,53,9372
OF1,32,MicroscopyImages,07-09,667405694496,47,11282
OF1,32,MicroscopyImages,07-10,617854201292,65,13449
OF1,32,MicroscopyImages,09-04,481036145335,52,10542
OF1,32,MicroscopyImages,09-05,422424966228,51,10604
OF1,32,MicroscopyImages,09-08,673725392410,57,12111
OF1,32,MicroscopyImages,09-10,217002116859,55,10038
OF1,32,MicroscopyImages,10-08,626166563729,79,14729
OF1,32,Shapes,01-02,470495776000,36,8920
OF1,32,Shapes,01-03,88614400000,36,7742
OF1,32,Shapes,01-04,327099771023,47,8866
OF1,32,Shapes,01-05,249596333584,41,7916
OF1,32,Shapes,01-06,611118800000,41,11108
OF1,32,Shapes,01-07,441757895836,50,9453
OF1,32,Shapes,01-08,346687557361,30,7484
OF1,32,Shapes,01-09,229883600000,38,9600
OF1,32,Shapes,01-10,158095790368,42,7438
OF1,32,Shapes,02-04,156858382442,16,3837
OF1,32,Shapes,02-05,557533779434,19,6164
OF1,32,Shapes,02-06,577436896000,17,5114
OF1,32,Shapes,02-08,219258534999,11,3442
OF1,32,Shapes,02-09,514296672000,17,5632
OF1,32,Shapes,02-10,555213532931,20,6015
OF1,32,Shapes,03-02,472479232000,19,5686
OF1,32,Shapes,03-04,332983350461,26,7107
OF1,32,Shapes,03-05,256777101052,21,5298
OF1,32,Shapes,03-06,613242200000,21,6457
OF1,32,Shapes,03-08,351798520196,15,4695
OF1,32,Shapes,03-09,234633600000,26,7059
OF1,32,Shapes,03-10,177476288970,23,5478
OF1,32,Shapes,04-05,407594177630,25,6726
OF1,32,Shapes,04-08,141250968845,16,4140
OF1,32,Shapes,04-10,412176631684,26,6599
OF1,32,Shapes,05-08,374715170072,15,4752
OF1,32,Shapes,05-10,284555510052,23,5864
OF1,32,Shapes,06-04,552783340482,26,7320
OF1,32,Shapes,06-05,643339299281,26,7972
OF1,32,Shapes,06-08,575416475748,17,5819
OF1,32,Shapes,06-09,635712000000,27,8625
OF1,32,Shapes,06-10,638897571089,26,7371
OF1,32,Shapes,07-02,462919981985,22,6436
OF1,32,Shapes,07-03,447638330547,30,7788
OF1,32,Shapes,07-04,420470543441,30,7593
OF1,32,Shapes,07-05,505379987939,32,8262
OF1,32,Shapes,07-06,968532082158,31,9217
OF1,32,Shapes,07-08,439586401911,21,6334
OF1,32,Shapes,07-09,494049863913,29,7901
OF1,32,Shapes,07-10,490806292603,29,7524
OF1,32,Shapes,09-04,399924053927,26,7005
OF1,32,Shapes,09-05,342734072695,22,5823
OF1,32,Shapes,09-08,416224515635,16,5195
OF1,32,Shapes,09-10,278084896387,22,5505
OF1,32,Shapes,10-08,447574964719,17,5154
OF1,32,WhiteNoise,01-02,57155605881,85,10262
OF1,32,WhiteNoise,01-03,60369901313,80,10294
OF1,32,WhiteNoise,01-04,72488445412,95,11294
OF1,32,WhiteNoise,01-05,62577225562,86,10937
OF1,32,WhiteNoise,01-06,53211775118,89,10809
OF1,32,WhiteNoise,01-07,58499517183,82,9674
OF1,32,WhiteNoise,01-08,56645248683,89,10300
OF1,32,WhiteNoise,01-09,70309185938,91,12741
OF1,32,WhiteNoise,01-10,60256268958,93,10249
OF1,32,WhiteNoise,02-04,71415060782,92,11317
OF1,32,WhiteNoise,02-05,61544691084,101,11591
OF1,32,WhiteNoise,02-06,59979296430,83,10426
OF1,32,WhiteNoise,02-08,54465738427,85,9680
OF1,32,WhiteNoise,02-09,61597100671,91,11172
OF1,32,WhiteNoise,02-10,62767766263,95,11072
OF1,32,WhiteNoise,03-02,60877218031,116,13249
OF1,32,WhiteNoise,03-04,72336751987,117,12953
OF1,32,WhiteNoise,03-05,63637961939,93,11114
OF1,32,WhiteNoise,03-06,53300577644,98,12103
OF1,32,WhiteNoise,03-08,66106390383,94,11168
OF1,32,WhiteNoise,03-09,63904260588,107,13142
OF1,32,WhiteNoise,03-10,55557939020,88,11634
OF1,32,WhiteNoise,04-05,59571305412,88,10498
OF1,32,WhiteNoise,04-08,72055977501,95,11198
OF1,32,WhiteNoise,04-10,82129694629,93,11996
OF1,32,WhiteNoise,05-08,63884105234,87,11001
OF1,32,WhiteNoise,05-10,66996773336,88,11766
OF1,32,WhiteNoise,06-04,64151622677,92,11635
OF1,32,WhiteNoise,06-05,57460836232,78,9260
OF1,32,WhiteNoise,06-08,58543744204,86,10241
OF1,32,WhiteNoise,06-09,66349396194,91,11210
OF1,32,WhiteNoise,06-10,56552190012,83,10067
OF1,32,WhiteNoise,07-02,60202485137,94,12056
OF1,32,WhiteNoise,07-03,61772519243,90,11884
OF1,32,WhiteNoise,07-04,84820822316,97,12318
OF1,32,WhiteNoise,07-05,62578915474,83,11059
OF1,32,WhiteNoise,07-06,62701007042,86,11211
OF1,32,WhiteNoise,07-08,60528626107,89,10097
OF1,32,WhiteNoise,07-09,72576196605,88,11771
OF1,32,WhiteNoise,07-10,62909519326,104,12450
OF1,32,WhiteNoise,09-04,62744672684,82,10048
OF1,32,WhiteNoise,09-05,59168931048,80,10046
OF1,32,WhiteNoise,09-08,68820545275,86,10126
OF1,32,WhiteNoise,09-10,70298454355,93,11203
OF1,32,WhiteNoise,10-08,65906474169,108,12065
OF1,64,CauchyDensity,01-02,6653857293715,4826,105983
OF1,64,CauchyDensity,01-03,2523834973386,13746,162177
OF1,64,CauchyDensity,01-04,4471420698880,21182,279077
OF1,64,CauchyDensity,01-05,4749139124340,20928,150205
OF1,64,CauchyDensity,01-06,6520771207191,13446,161694
OF1,64,CauchyDensity,01-07,4139762572768,4975,85620
OF1,64,CauchyDensity,01-08,5850102307228,5188,94363
OF1,64,CauchyDensity,01-09,5130424442222,13272,164818
OF1,64,CauchyDensity,01-10,4741722110268,8607,107987
OF1,64,CauchyDensity,02-03,6079084769127,2593,80397
OF1,64,CauchyDensity,02-04,5649398348810,3054,71864
OF1,64,CauchyDensity,02-05,3440181273882,4905,94391
OF1,64,CauchyDensity,02-07,5335315634880,1987,60884
OF1,64,CauchyDensity,02-10,5876446962533,2134,62687
OF1,64,CauchyDensity,03-07,1934644856809,10935,124560
OF1,64,CauchyDensity,03-10,2643236812099,7455,94728
OF1,64,CauchyDensity,04-03,3494493972315,6479,115977
OF1,64,CauchyDensity,04-07,2878775308787,3941,75043
OF1,64,CauchyDensity,04-10,3086445603426,4013,73629
OF1,64,CauchyDensity,05-03,4103810441278,3152,86115
OF1,64,CauchyDensity,05-04,4416924725125,2846,86523
OF1,64,CauchyDensity,05-07,3629319437167,2217,70997
OF1,64,CauchyDensity,05-10,4726290578521,2447,82845
OF1,64,CauchyDensity,06-02,4507454596558,2853,122750
OF1,64,CauchyDensity,06-03,5453921307581,5592,103339
OF1,64,CauchyDensity,06-04,3435682719301,2472,80111
OF1,64,CauchyDensity,06-05,3698020717861,2606,84682
OF1,64,CauchyDensity,06-07,4670987787000,2402,86800
OF1,64,CauchyDensity,06-08,3870453438721,2107,61035
OF1,64,CauchyDensity,06-10,5668413666949,2508,85714
OF1,64,CauchyDensity,07-10,1310453241754,3696,91503
OF1,64,CauchyDensity,08-02,3150777172450,2742,109540
OF1,64,CauchyDensity,08-03,5503691462107,3787,90288
OF1,64,CauchyDensity,08-04,4810623408165,2461,81149
OF1,64,CauchyDensity,08-05,2487656309051,3802,82455
OF1,64,CauchyDensity,08-07,5025980291563,2310,66441
OF1,64,CauchyDensity,08-10,5850132527727,2145,68300
OF1,64,CauchyDensity,09-02,5343423785813,18239,178654
OF1,64,CauchyDensity,09-03,4055821286677,2636,83246
OF1,64,CauchyDensity,09-04,5169028056968,2319,83774
OF1,64,CauchyDensity,09-05,4520600416535,3188,105085
OF1,64,CauchyDensity,09-06,7175107436589,2438,87894
OF1,64,CauchyDensity,09-07,3428804575648,2189,72238
OF1,64,CauchyDensity,09-08,5414125782906,2349,86572
OF1,64,CauchyDensity,09-10,3120294042572,2069,61435
OF1,64,ClassicImages,01-02,1650419011023,2439,67023
OF1,64,ClassicImages,01-03,1845206737909,2215,70308
OF1,64,ClassicImages,01-04,1357707677184,2177,60388
OF1,64,ClassicImages,01-05,1564673831507,5412,106563
OF1,64,ClassicImages,01-06,2330197751573,2062,70319
OF1,64,ClassicImages,01-07,1861094480955,4877,93101
OF1,64,ClassicImages,01-08,1487766933570,3573,78457
OF1,64,ClassicImages,01-09,2733350533250,3821,95826
OF1,64,ClassicImages,01-10,2319314344592,4436,84687
OF1,64,ClassicImages,02-03,1281841472680,4116,88242
OF1,64,ClassicImages,02-04,708537437712,5095,128853
OF1,64,ClassicImages,02-05,717229093587,4004,94124
