Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,128,LogitGRF,02-01,28534716601722,60662,5,783176,3063
OF1,128,LogitGRF,02-04,18135419068320,69810,5,813453,6116
OF1,128,LogitGRF,02-06,22944585397588,102801,5,923388,9476
OF1,128,LogitGRF,02-10,20103207245035,86172,5,774692,5122
OF1,128,LogitGRF,03-01,14234553813978,108691,5,766130,6360
OF1,128,LogitGRF,03-02,20427281142643,73679,5,763910,4078
OF1,128,LogitGRF,03-04,15134810665636,74466,5,774540,5274
OF1,128,LogitGRF,03-06,13429292091100,69264,4,788606,4211
OF1,128,LogitGRF,03-07,16023303613345,54613,4,656713,2692
OF1,128,LogitGRF,03-08,24188914599918,112310,5,746301,3914
OF1,128,LogitGRF,03-09,20846768921413,100194,4,768157,5133
OF1,128,LogitGRF,03-10,14827513087646,92452,5,789005,5124
OF1,128,LogitGRF,04-01,19702280732321,63882,5,773739,3343
OF1,128,LogitGRF,04-06,17311654365108,108324,5,866342,8750
OF1,128,LogitGRF,04-10,20006202039826,91803,5,804424,5602
OF1,128,LogitGRF,05-01,12537274006911,89759,5,771211,7599
OF1,128,LogitGRF,05-02,21699864084243,158097,5,877761,6611
OF1,128,LogitGRF,05-03,13807895859004,107119,5,797678,6413
OF1,128,LogitGRF,05-04,17200747910575,107018,4,773393,5865
OF1,128,LogitGRF,05-06,15897836325632,109186,5,807944,6280
OF1,128,LogitGRF,05-07,25341284719884,82415,5,709606,3873
OF1,128,LogitGRF,05-08,32779430488129,90381,5,724753,4041
OF1,128,LogitGRF,05-09,25573491432380,94190,5,806020,4817
OF1,128,LogitGRF,05-10,23432363593510,104241,5,711109,5033
OF1,128,LogitGRF,07-01,23597615687560,80630,5,789168,4691
OF1,128,LogitGRF,07-02,24221262832406,85094,5,759465,6885
OF1,128,LogitGRF,07-04,19846796446840,83262,5,790791,6290
OF1,128,LogitGRF,07-06,20643447087734,187730,5,771080,6325
OF1,128,LogitGRF,07-10,12472596684234,110456,5,789841,4725
OF1,128,LogitGRF,08-01,32462943183610,71459,5,744091,3462
OF1,128,LogitGRF,08-02,22865707494156,85387,5,813493,4254
OF1,128,LogitGRF,08-04,20891600730345,184431,5,811353,11583
OF1,128,LogitGRF,08-06,26966061840605,73889,5,786308,2889
OF1,128,LogitGRF,08-07,18593237086281,100529,5,813538,5763
OF1,128,LogitGRF,08-10,17913596576819,93051,4,794900,6082
OF1,128,LogitGRF,09-01,22550329024280,69896,5,710095,3545
OF1,128,LogitGRF,09-02,31237892251606,69242,5,788775,4817
OF1,128,LogitGRF,09-04,20347388664861,63463,5,816624,4888
OF1,128,LogitGRF,09-06,20438189951212,103318,4,826100,6762
OF1,128,LogitGRF,09-07,21758642231815,102004,5,788057,9945
OF1,128,LogitGRF,09-08,24861592643487,93299,5,849263,4967
OF1,128,LogitGRF,09-10,18742471409056,78043,5,754192,6003
OF1,128,LogitGRF,10-06,16322582048733,96201,5,899412,6675
OF1,128,MicroscopyImages,01-06,31964076390576,27045,3,392084,4443
OF1,128,MicroscopyImages,01-10,29105081220100,19587,2,306799,2041
OF1,128,MicroscopyImages,02-01,9067253622236,16301,3,338447,1586
OF1,128,MicroscopyImages,02-04,19365105272179,36674,4,588884,2868
OF1,128,MicroscopyImages,02-06,31528172115919,54748,3,600793,6243
OF1,128,MicroscopyImages,02-10,22229399414960,30270,4,479845,2442
OF1,128,MicroscopyImages,03-01,21978039336810,15232,2,267319,2150
OF1,128,MicroscopyImages,03-02,22677880592743,26536,3,414352,2887
OF1,128,MicroscopyImages,03-04,5909491457648,25790,3,385439,1830
OF1,128,MicroscopyImages,03-06,33607069672071,39702,3,495266,4783
OF1,128,MicroscopyImages,03-07,43290658260925,19528,2,321838,4058
OF1,128,MicroscopyImages,03-08,40553726110401,24691,3,378608,3167
OF1,128,MicroscopyImages,03-09,41252464001998,12390,1,269166,2364
OF1,128,MicroscopyImages,03-10,37206188541900,24579,3,409248,2737
OF1,128,MicroscopyImages,04-01,18427238619388,34220,3,376953,2792
OF1,128,MicroscopyImages,04-06,30482742444564,63290,4,711327,6828
OF1,128,MicroscopyImages,04-10,34701393839153,41185,4,575780,3544
OF1,128,MicroscopyImages,05-01,38336121289788,34397,2,351827,7496
OF1,128,MicroscopyImages,05-02,37892088656180,48928,2,504427,7495
OF1,128,MicroscopyImages,05-03,38929345632814,25809,2,437087,4312
OF1,128,MicroscopyImages,05-04,36195114826070,51837,3,534784,5607
OF1,128,MicroscopyImages,05-06,8577637201539,22874,3,374046,2438
OF1,128,MicroscopyImages,05-07,45694629534839,10931,2,258355,1416
OF1,128,MicroscopyImages,05-08,44134927383277,19668,3,356910,2014
OF1,128,MicroscopyImages,05-09,54689954678689,15585,2,249637,3148
OF1,128,MicroscopyImages,05-10,42465006109702,42786,2,347459,5678
OF1,128,MicroscopyImages,07-01,44992884634117,13959,1,255052,2880
OF1,128,MicroscopyImages,07-02,43692830847747,19991,2,397732,2177
OF1,128,MicroscopyImages,07-04,42403862792043,25848,3,428536,4102
OF1,128,MicroscopyImages,07-06,40070623920443,18874,2,381535,2063
OF1,128,MicroscopyImages,07-10,44627715842083,24518,2,427145,3309
OF1,128,MicroscopyImages,08-01,42544508340125,17052,2,324556,2315
OF1,128,MicroscopyImages,08-02,40406607504373,34350,3,524529,2358
OF1,128,MicroscopyImages,08-04,39496574970305,42126,4,540701,4389
OF1,128,MicroscopyImages,08-06,37716801898623,43337,3,490509,2340
OF1,128,MicroscopyImages,08-07,6860865761332,11635,2,253565,1273
OF1,128,MicroscopyImages,08-10,41392587670255,43459,3,569816,5682
OF1,128,MicroscopyImages,09-01,37776180493478,9459,1,245602,2403
OF1,128,MicroscopyImages,09-02,31397838641571,14438,2,300854,1981
OF1,128,MicroscopyImages,09-04,39753794376469,22603,2,338579,2062
OF1,128,MicroscopyImages,09-06,49413956355481,25482,2,349547,5027
OF1,128,MicroscopyImages,09-07,50620334739458,14437,1,384892,4231
OF1,128,MicroscopyImages,09-08,47117113113342,22012,2,395041,3638
OF1,128,MicroscopyImages,09-10,15418041366957,15777,2,280706,2775
OF1,128,MicroscopyImages,10-06,36978122251185,30380,3,449347,2602
OF1,128,Shapes,01-06,39079581200000,28666,3,596436,1564
OF1,128,Shapes,01-10,9116360473270,27758,4,437895,2087
OF1,128,Shapes,02-01,30089682768000,57443,3,487266,11097
OF1,128,Shapes,02-04,9828079538621,17855,2,268856,4045
OF1,128,Shapes,02-06,36902727232000,15974,2,350374,2732
OF1,128,Shapes,02-10,34309484066648,33725,2,310222,6912
OF1,128,Shapes,03-01,5215058400000,22421,3,418601,978
OF1,128,Shapes,03-02,30191854640000,15732,2,276341,1951
OF1,128,Shapes,03-04,21405975170708,17052,2,345422,2309
OF1,128,Shapes,03-06,39201057000000,18848,2,703430,1548
OF1,128,Shapes,03-07,27724179163594,21963,2,528886,2837
OF1,128,Shapes,03-08,22413663182980,10916,2,260724,1901
OF1,128,Shapes,03-09,14884410000000,11180,2,349014,858
OF1,128,Shapes,03-10,10308090338288,15171,2,286672,1505
OF1,128,Shapes,04-01,21122970788875,90611,4,571618,12638
OF1,128,Shapes,04-06,35393684496039,15531,2,360590,1405
OF1,128,Shapes,04-10,25257237660889,44210,2,517387,11709
OF1,128,Shapes,05-01,16104272362320,39126,3,663193,2866
OF1,128,Shapes,05-02,35632863187626,17584,2,285697,4973
OF1,128,Shapes,05-03,16538091788224,21357,3,405373,3053
OF1,128,Shapes,05-04,26286605059705,28847,2,331090,6243
OF1,128,Shapes,05-06,41140952832632,14475,2,548670,1447
OF1,128,Shapes,05-07,31788646140061,20499,3,480978,2507
OF1,128,Shapes,05-08,23777487020325,95197,2,327721,46740
OF1,128,Shapes,05-09,21941713050148,16982,2,495838,1896
OF1,128,Shapes,05-10,17339885619272,17762,2,394150,2443
OF1,128,Shapes,07-01,27369103071814,34554,4,533497,2956
OF1,128,Shapes,07-02,28792951239766,19464,2,340976,3379
OF1,128,Shapes,07-04,25958138667557,21229,3,444520,1420
OF1,128,Shapes,07-06,60957454023330,27333,3,688190,2672
OF1,128,Shapes,07-10,29802054674412,36221,3,617098,6063
OF1,128,Shapes,08-01,22160431238274,25635,3,468060,3772
OF1,128,Shapes,08-02,14217096526661,13227,1,213456,4622
OF1,128,Shapes,08-04,9126415302412,16615,2,256920,2142
OF1,128,Shapes,08-06,36858918817906,14054,2,302894,3744
OF1,128,Shapes,08-07,27153789865175,16778,2,316316,3572
OF1,128,Shapes,08-10,27443247840388,21130,2,327612,6079
OF1,128,Shapes,09-01,14491963200000,30822,3,520591,1211
OF1,128,Shapes,09-02,32821224192000,17591,2,332645,3878
OF1,128,Shapes,09-04,25645830549206,37261,2,454243,5491
OF1,128,Shapes,09-06,40573869400000,17648,2,635572,1413
OF1,128,Shapes,09-07,30639181422955,33338,3,598847,5010
OF1,128,Shapes,09-08,26380187673473,24677,2,289273,3558
OF1,128,Shapes,09-10,17110674476862,36223,2,330737,3792
OF1,128,Shapes,10-06,40286995373499,24820,2,891527,2828
OF1,128,WhiteNoise,01-06,1217611100004,61979,5,753385,1839
OF1,128,WhiteNoise,01-10,1041588985415,94927,5,789722,2825
OF1,128,WhiteNoise,02-01,1079452759766,91342,5,766369,2587
OF1,128,WhiteNoise,02-04,1164039060605,109387,5,860633,3116
OF1,128,WhiteNoise,02-06,1381849138685,57343,5,660652,1862
OF1,128,WhiteNoise,02-10,1195895819678,104494,5,901238,3093
OF1,128,WhiteNoise,03-01,1126179413511,93978,5,860993,2962
OF1,128,WhiteNoise,03-02,1184678895027,93895,5,879610,3042
OF1,128,WhiteNoise,03-04,1209491561768,79801,5,733225,2489
OF1,128,WhiteNoise,03-06,1022950327079,72781,5,647134,2050
OF1,128,WhiteNoise,03-07,1140090617639,65036,5,629810,1801
OF1,128,WhiteNoise,03-08,1121800162833,107575,5,885510,3122
OF1,128,WhiteNoise,03-09,1200888396510,92751,5,795212,2856
OF1,128,WhiteNoise,03-10,1141048784113,83952,5,784576,2597
OF1,128,WhiteNoise,04-01,996723490415,107869,5,913140,3092
OF1,128,WhiteNoise,04-06,1248102495158,87012,5,757964,2802
OF1,128,WhiteNoise,04-10,1054168748157,96763,5,769729,2658
OF1,128,WhiteNoise,05-01,1097056994561,68331,5,695016,2136
OF1,128,WhiteNoise,05-02,1351846772000,96992,5,982154,3012
OF1,128,WhiteNoise,05-03,1184297185103,86305,6,760235,2656
OF1,128,WhiteNoise,05-04,1120112645646,92218,4,933325,2904
OF1,128,WhiteNoise,05-06,1146550918690,96019,5,938638,2962
OF1,128,WhiteNoise,05-07,1098679323434,107527,5,1030350,3243
OF1,128,WhiteNoise,05-08,1218571771786,89441,5,825201,2854
OF1,128,WhiteNoise,05-09,1067014196027,106195,5,1004677,3131
OF1,128,WhiteNoise,05-10,1131462264626,86063,5,777732,2657
OF1,128,WhiteNoise,07-01,1068195966606,52774,5,625813,1548
OF1,128,WhiteNoise,07-02,1270420921956,66747,5,677062,1993
OF1,128,WhiteNoise,07-04,1065182515019,85358,5,790595,2608
OF1,128,WhiteNoise,07-06,1157528936889,111226,5,840131,3065
OF1,128,WhiteNoise,07-10,1081331325832,108326,5,1019424,3257
OF1,128,WhiteNoise,08-01,1314700559997,106102,4,1022630,3449
OF1,128,WhiteNoise,08-02,1417306493934,66481,5,702555,2423
OF1,128,WhiteNoise,08-04,1275972346465,64467,4,727874,2267
OF1,128,WhiteNoise,08-06,1200982136193,84216,5,724575,2577
OF1,128,WhiteNoise,08-07,1192262832245,59033,5,628164,1686
OF1,128,WhiteNoise,08-10,1180375339436,50769,5,634921,1721
OF1,128,WhiteNoise,09-01,1025084636345,94517,5,807745,2776
OF1,128,WhiteNoise,09-02,1130115811805,88033,5,724697,2620
OF1,128,WhiteNoise,09-04,1035199628864,119069,4,1039258,3389
OF1,128,WhiteNoise,09-06,1288967852992,90836,5,878681,2933
OF1,128,WhiteNoise,09-07,1129804284892,75079,5,709607,2153
OF1,128,WhiteNoise,09-08,1235609237816,90613,5,820596,2951
OF1,128,WhiteNoise,09-10,1026881770307,108745,5,963761,3086
OF1,128,WhiteNoise,10-06,1203978296128,62190,4,685113,2305
OF1,256,CauchyDensity,01-03,728309691619119,2381615,26,20660898,31031
OF1,256,CauchyDensity,01-04,629197380856461,2740373,26,25804592,38716
OF1,256,CauchyDensity,01-06,724477956536579,2748278,27,6458646,13813
OF1,256,CauchyDensity,01-08,458437637696654,2066164,28,5581017,17818
OF1,256,CauchyDensity,01-09,488678729649795,1807627,27,6062400,25214
OF1,256,CauchyDensity,02-01,511386086697240,3246487,30,25756235,40307
OF1,256,CauchyDensity,02-03,553477648804056,2907069,30,4546298,9407
OF1,256,CauchyDensity,02-04,196400304710014,4252310,28,4820460,27183
OF1,256,CauchyDensity,02-05,327848467413103,3316331,31,3709561,9465
OF1,256,CauchyDensity,02-06,621674686180893,2393978,27,5228569,13651
OF1,256,CauchyDensity,02-07,634423044704968,2843744,32,4030664,10240
OF1,256,CauchyDensity,02-08,440868012449295,3556985,28,4179367,15771
OF1,256,CauchyDensity,02-09,264475847961427,4496581,26,5833125,30229
OF1,256,CauchyDensity,02-10,424908753055980,2743953,30,6169170,20376
OF1,256,CauchyDensity,03-04,476456973935516,3700693,27,3484808,12168
OF1,256,CauchyDensity,03-06,253612679077354,3619162,29,4511912,30096
OF1,256,CauchyDensity,03-08,321846362384780,3511993,27,6923593,43417
OF1,256,CauchyDensity,03-09,353905464907022,3488309,29,6815299,55388
OF1,256,CauchyDensity,04-08,466713966332294,3451708,27,4758443,14230
OF1,256,CauchyDensity,05-01,506019757374096,2360534,28,24829975,36675
OF1,256,CauchyDensity,05-03,266546429316028,2175547,29,4941553,21600
OF1,256,CauchyDensity,05-04,326641387047419,2252565,27,3565664,8689
OF1,256,CauchyDensity,05-06,311838682236178,2650616,27,4688866,16702
OF1,256,CauchyDensity,05-08,171260797337880,2478143,28,4614006,15053
OF1,256,CauchyDensity,05-09,129280910409038,3476628,27,6248254,30223
OF1,256,CauchyDensity,05-10,194861635492687,2493630,26,4755199,17193
OF1,256,CauchyDensity,06-04,566699483941619,3623073,28,3409096,11669
OF1,256,CauchyDensity,06-08,276086343137702,2266328,27,4055441,12070
OF1,256,CauchyDensity,07-01,674624639880162,2525692,26,12869250,26713
OF1,256,CauchyDensity,07-03,205164106165362,2422968,28,5287632,23545
OF1,256,CauchyDensity,07-04,607355822047879,2828466,28,4100007,11533
OF1,256,CauchyDensity,07-05,306585557318436,3015976,29,3510982,10000
OF1,256,CauchyDensity,07-06,141089473027692,2236833,29,4693740,22816
OF1,256,CauchyDensity,07-08,244917248602486,2311937,28,4000623,8615
OF1,256,CauchyDensity,07-09,401097204622158,3246729,27,3667500,11372
OF1,256,CauchyDensity,07-10,313594912445530,2540025,28,3940393,9780
OF1,256,CauchyDensity,09-04,236126941783527,3075044,26,4098475,9971
OF1,256,CauchyDensity,09-06,385451545693952,2615820,27,4113617,9913
OF1,256,CauchyDensity,09-08,231147215876918,2699271,27,3921632,8604
OF1,256,CauchyDensity,10-01,654712305593385,1986041,26,17853761,25040
OF1,256,CauchyDensity,10-03,227147774969437,4626791,26,4640587,25306
OF1,256,CauchyDensity,10-04,323303997445380,3982124,27,3699655,10704
OF1,256,CauchyDensity,10-06,251042539780228,2899672,28,3536176,10407
OF1,256,CauchyDensity,10-08,278263868998731,1748270,28,3984142,9502
OF1,256,CauchyDensity,10-09,200806022772462,2218121,27,3817972,9485
OF1,256,ClassicImages,01-03,118160409524485,1607356,27,4374000,19019
OF1,256,ClassicImages,01-04,86944828855955,1698648,26,4544026,16586
OF1,256,ClassicImages,01-06,149168238762729,2800451,28,6170116,42361
OF1,256,ClassicImages,01-08,95272697017857,2173759,28,7002312,39056
OF1,256,ClassicImages,01-09,174971574603145,2061568,28,4745682,18276
OF1,256,ClassicImages,02-01,105661558455492,2283183,30,6458944,38496
OF1,256,ClassicImages,02-03,82083010035960,3769268,30,3869917,27808
OF1,256,ClassicImages,02-04,45400735103277,2191041,27,6747481,26521
OF1,256,ClassicImages,02-05,45952658780818,1722672,31,5020294,18881
OF1,256,ClassicImages,02-06,53541358221743,1329030,27,4028036,13502
OF1,256,ClassicImages,02-07,52468039982097,1506766,31,4741683,17253
OF1,256,ClassicImages,02-08,60080776419872,2240832,28,5676546,26465
OF1,256,ClassicImages,02-09,130116966118804,1501733,27,4150018,11723
OF1,256,ClassicImages,02-10,87871921948919,2770171,30,4769262,22505
OF1,256,ClassicImages,03-04,67930095707623,5916678,28,3899244,30014
OF1,256,ClassicImages,03-06,93487607510318,1444821,29,4181535,10611
OF1,256,ClassicImages,03-08,82762641084860,3010642,29,4257841,27847
OF1,256,ClassicImages,03-09,154105751873013,2355689,29,5571291,27173
OF1,256,ClassicImages,04-08,56946602101008,1683102,27,4873636,15134
OF1,256,ClassicImages,05-01,100192603756076,2047917,28,4538362,16512
OF1,256,ClassicImages,05-03,76463798369722,2284712,30,4324775,23975
OF1,256,ClassicImages,05-04,55464666379930,1854773,28,5095609,18158
OF1,256,ClassicImages,05-06,70289128720404,1641562,28,6132236,26885
OF1,256,ClassicImages,05-08,72084568102623,2237058,28,4985064,22043
OF1,256,ClassicImages,05-09,122086663428024,2134175,27,4038796,13224
OF1,256,ClassicImages,05-10,111313321441744,2265765,28,4219752,21522
OF1,256,ClassicImages,06-04,82876950461230,1904274,26,5500446,24443
OF1,256,ClassicImages,06-08,80156622310621,1485999,26,4738410,15922
OF1,256,ClassicImages,07-01,119167413702763,4028158,28,4619908,32181
OF1,256,ClassicImages,07-03,99830299574743,3077320,27,4672136,23212
OF1,256,ClassicImages,07-04,77496388392549,2905216,26,6880174,35389
OF1,256,ClassicImages,07-05,53398121176458,1826311,28,4844256,19091
OF1,256,ClassicImages,07-06,67580273223967,1584456,27,6064688,30824
OF1,256,ClassicImages,07-08,76123195480933,2463770,29,5531217,31185
OF1,256,ClassicImages,07-09,117193853940465,2611562,27,4132692,20247
OF1,256,ClassicImages,07-10,96018490651370,3061963,29,4739879,22959
OF1,256,ClassicImages,09-04,147197136636885,2938339,28,4724631,21340
OF1,256,ClassicImages,09-06,129156878764684,1800989,29,4622924,11633
OF1,256,ClassicImages,09-08,171352761322387,2161758,28,3927790,12971
OF1,256,ClassicImages,10-01,148525249068062,2140451,29,6363599,31977
OF1,256,ClassicImages,10-03,128631370162549,2826728,27,4187034,22170
OF1,256,ClassicImages,10-04,114389627691590,3006209,27,4828399,32528
OF1,256,ClassicImages,10-06,86943791614602,2579258,27,5234015,32096
OF1,256,ClassicImages,10-08,96939346942576,2697694,29,5246463,27392
OF1,256,ClassicImages,10-09,188977614152587,2392069,27,4844200,29900
OF1,256,GRFmoderate,01-03,83371985413632,2266162,29,4655166,20051
OF1,256,GRFmoderate,01-04,115804989734758,2148036,27,5134429,29536
OF1,256,GRFmoderate,01-06,78823121935866,1681668,27,4618548,23132
OF1,256,GRFmoderate,01-08,129981207591502,3566250,27,6045945,28488
OF1,256,GRFmoderate,01-09,147621422773752,1693819,27,5986962,18750
OF1,256,GRFmoderate,02-01,118017260266342,1774064,30,4871356,17105
OF1,256,GRFmoderate,02-03,162016650557446,2032649,30,5080671,24269
OF1,256,GRFmoderate,02-04,144533321042312,3187323,29,5520261,36173
OF1,256,GRFmoderate,02-05,84317626883444,2046594,30,5166726,22692
OF1,256,GRFmoderate,02-06,103272618618626,2518878,28,4722340,21566
OF1,256,GRFmoderate,02-07,114579697088730,2118691,31,4491653,13922
OF1,256,GRFmoderate,02-08,107051210351978,1733782,28,4794609,16074
OF1,256,GRFmoderate,02-09,70194311143066,2245010,27,6320284,24852
OF1,256,GRFmoderate,02-10,118254570991501,2282033,31,5608000,22477
OF1,256,GRFmoderate,03-04,157989435414683,2204150,27,4494365,14245
OF1,256,GRFmoderate,03-06,101159923055180,3616632,29,6329341,44773
OF1,256,GRFmoderate,03-08,144366899483374,1895580,28,4865199,19666
OF1,256,GRFmoderate,03-09,195074637536085,2184916,28,4498473,14889
OF1,256,GRFmoderate,04-08,211987033392769,2926260,27,4737874,25819
OF1,256,GRFmoderate,05-01,92707140496997,2312684,29,5407809,21012
OF1,256,GRFmoderate,05-03,137556779602743,1400988,27,4205830,10172
OF1,256,GRFmoderate,05-04,112899534703105,4013413,27,4814304,36496
OF1,256,GRFmoderate,05-06,81050351709493,1494761,27,4237602,20555
OF1,256,GRFmoderate,05-08,127982471227120,2871110,28,4780834,13440
OF1,256,GRFmoderate,05-09,105969172851540,1530341,28,4665931,17174
OF1,256,GRFmoderate,05-10,106173341659487,1740045,28,4793200,18759
OF1,256,GRFmoderate,06-04,113378277095699,4022194,29,4659130,14889
OF1,256,GRFmoderate,06-08,127145985323524,3772590,27,4475479,26422
OF1,256,GRFmoderate,07-01,55399894541619,2816949,27,5067701,22507
OF1,256,GRFmoderate,07-03,89512723648617,1832949,28,6032742,28022
OF1,256,GRFmoderate,07-04,95218083462960,1721101,27,4324809,13332
OF1,256,GRFmoderate,07-05,83902818924995,1988918,29,5422020,31271
OF1,256,GRFmoderate,07-06,75590860400609,2585749,27,5661717,37507
OF1,256,GRFmoderate,07-08,139218476623654,2631144,27,5058939,23937
OF1,256,GRFmoderate,07-09,145280384245280,2264597,29,5040549,23902
OF1,256,GRFmoderate,07-10,90662860796462,2606991,26,5592076,32913
OF1,256,GRFmoderate,09-04,142315710156281,3542462,27,4958691,31073
OF1,256,GRFmoderate,09-06,113959319381900,2388739,29,5360774,27364
OF1,256,GRFmoderate,09-08,144788780642440,1793500,28,4655083,14768
OF1,256,GRFmoderate,10-01,100426122954465,2374174,28,5444957,24085
OF1,256,GRFmoderate,10-03,111191777390292,1689036,28,4108526,13944
OF1,256,GRFmoderate,10-04,96941238565500,4792001,28,6620904,65726
OF1,256,GRFmoderate,10-06,72229003362044,1801937,26,5573747,24866
OF1,256,GRFmoderate,10-08,148810218677398,1888542,27,4174483,9110
OF1,256,GRFmoderate,10-09,130257845582970,1974372,27,5060883,21635
OF1,256,GRFrough,01-03,52527006995073,2249286,27,5120187,17572
OF1,256,GRFrough,01-04,46335204658792,1657656,27,4640976,19600
OF1,256,GRFrough,01-06,35460196641936,1736144,28,4763622,17223
OF1,256,GRFrough,01-08,29886815402107,1837103,26,5055146,21465
OF1,256,GRFrough,01-09,27970968449358,1811070,28,5027360,21269
OF1,256,GRFrough,02-01,31952978792786,1681522,30,5209579,16235
OF1,256,GRFrough,02-03,46854876306700,2038897,30,5654597,25722
OF1,256,GRFrough,02-04,51328067897070,1698614,28,4476199,11223
OF1,256,GRFrough,02-05,40813761656123,2342103,30,6106773,26435
OF1,256,GRFrough,02-06,40150477713057,1668259,27,6237734,26745
OF1,256,GRFrough,02-07,35631029703970,1600822,33,4443431,11698
OF1,256,GRFrough,02-08,34715203669201,1511788,29,5038719,16170
OF1,256,GRFrough,02-09,38515948905788,1288937,27,4578272,15199
OF1,256,GRFrough,02-10,25010086008732,2101860,30,5450681,23087
OF1,256,GRFrough,03-04,34582919487893,1986985,28,7447470,27393
OF1,256,GRFrough,03-06,30635312038139,2189875,29,7004546,20891
OF1,256,GRFrough,03-08,44016639267942,1935816,27,5293322,15034
OF1,256,GRFrough,03-09,49669285340246,1480877,27,5195066,17626
OF1,256,GRFrough,04-08,36099231948256,2289467,26,4934366,22779
OF1,256,GRFrough,05-01,38006757834972,2225066,28,5668151,23677
OF1,256,GRFrough,05-03,57626328384464,2079536,29,5461855,15278
OF1,256,GRFrough,05-04,49080185356643,1106873,27,4421611,12627
OF1,256,GRFrough,05-06,44581077973364,1687339,27,4484589,16010
OF1,256,GRFrough,05-08,37261262722438,1260440,27,5236708,15026
OF1,256,GRFrough,05-09,35630915447803,1540804,28,5929502,18046
OF1,256,GRFrough,05-10,37579713664840,1656969,27,5968907,23250
OF1,256,GRFrough,06-04,27034086368140,1077056,27,4079796,8823
OF1,256,GRFrough,06-08,30038430127402,1578080,29,4708618,15646
OF1,256,GRFrough,07-01,28574619589408,1525300,27,4720531,15615
OF1,256,GRFrough,07-03,36090655262603,1954860,28,6742185,20705
OF1,256,GRFrough,07-04,27481331892233,1866612,29,5199197,23705
OF1,256,GRFrough,07-05,33687950225253,1596684,29,4563060,13302
OF1,256,GRFrough,07-06,21172876539483,1337628,27,4368008,13436
OF1,256,GRFrough,07-08,24640289882387,1907785,28,4120526,11988
OF1,256,GRFrough,07-09,23182590555174,2221838,27,5497284,21751
OF1,256,GRFrough,07-10,25332003860991,1291562,27,5169046,15159
OF1,256,GRFrough,09-04,34510797838591,2019337,27,6086811,24165
OF1,256,GRFrough,09-06,27488918407979,1919986,26,7471325,26567
OF1,256,GRFrough,09-08,25669166505738,1544614,27,4574997,17302
OF1,256,GRFrough,10-01,28274526686130,1734513,29,6372281,23402
OF1,256,GRFrough,10-03,42125035106749,2287737,28,5530491,15631
OF1,256,GRFrough,10-04,42630077994870,1766390,28,5325766,24456
OF1,256,GRFrough,10-06,29913036932631,1230335,29,4325030,11957
OF1,256,GRFrough,10-08,28508771015956,1889586,26,5066169,17352
OF1,256,GRFrough,10-09,32153677935818,1862333,29,5971342,24061
OF1,256,GRFsmooth,01-03,250833137231608,3105524,27,4410748,15515
OF1,256,GRFsmooth,01-04,248565253493065,2425760,27,4953396,16975
OF1,256,GRFsmooth,01-06,202336351134022,2216359,26,5257509,25596
OF1,256,GRFsmooth,01-08,118677401470839,1856787,27,4993166,17782
OF1,256,GRFsmooth,01-09,183430526459706,2697715,28,3898720,10509
OF1,256,GRFsmooth,02-01,148442456852985,2408595,32,6446897,28525
OF1,256,GRFsmooth,02-03,345179147930254,3826683,30,3518353,12466
OF1,256,GRFsmooth,02-04,374792037237500,3255476,29,4601196,12226
OF1,256,GRFsmooth,02-05,287524008150298,2509597,31,4213031,12356
OF1,256,GRFsmooth,02-06,303583461412141,2473784,28,4152012,9490
OF1,256,GRFsmooth,02-07,212029739943805,2535019,31,5416383,13796
OF1,256,GRFsmooth,02-08,154118343484152,2030114,27,4640724,17247
OF1,256,GRFsmooth,02-09,304994201304696,2613887,28,4478902,13538
OF1,256,GRFsmooth,02-10,391222609926117,4811080,31,5158648,19760
OF1,256,GRFsmooth,03-04,153507181945510,2462184,28,5255550,23025
OF1,256,GRFsmooth,03-06,134970237185129,2718870,29,6801091,45386
OF1,256,GRFsmooth,03-08,217028997287867,3960948,28,5076776,84012
OF1,256,GRFsmooth,03-09,142179947560518,2207924,28,4931244,24294
OF1,256,GRFsmooth,04-08,276062558908375,2823477,27,4898503,16027
OF1,256,GRFsmooth,05-01,184974008921432,3054904,27,4455907,20145
OF1,256,GRFsmooth,05-03,130271587887048,3419994,28,5180776,35292
OF1,256,GRFsmooth,05-04,151743258925351,1425893,28,4168207,13732
OF1,256,GRFsmooth,05-06,157956441803481,2887148,27,8374602,67505
OF1,256,GRFsmooth,05-08,166426268211743,4173579,26,5003322,20956
OF1,256,GRFsmooth,05-09,88542696643055,2300888,27,6696810,41340
OF1,256,GRFsmooth,05-10,224337880828338,1449106,28,3904468,13255
OF1,256,GRFsmooth,06-04,108741916987820,2583178,28,4947065,27365
OF1,256,GRFsmooth,06-08,204691631752545,2360856,27,5639617,28324
OF1,256,GRFsmooth,07-01,113732800552343,2107495,28,5261957,20179
OF1,256,GRFsmooth,07-03,229214775352142,2764160,27,5903407,39909
OF1,256,GRFsmooth,07-04,189285336902351,2300908,27,4019539,9785
OF1,256,GRFsmooth,07-05,195704139036407,3332394,27,7737535,36430
OF1,256,GRFsmooth,07-06,149296822971005,1786761,27,5542882,20246
OF1,256,GRFsmooth,07-08,164952400732056,1582229,27,4949349,15432
OF1,256,GRFsmooth,07-09,173011867107843,2498470,28,4443683,16517
